Benchmark	SATTune	Z3	SMTRat	MathSAT	Alloy	Baseline
36	1.201446	3.630208	34.51662	3.454172	1000	13.29073476
38	87.881844	42.66624	111.056	247.3803	1000	36.90030962
41	5.204671	23.31277	80.95259	11.79059	1000	10.32709724
42	94.830051	55.90502	860.9863	66.68642	1000	4.572925097
43	26.248466	55.57586	865.5248	66.60831	1000	395.9355038
44	1.260453	38.44152	1000.143	8.794849	1000	19.97887125
45	0.199359	21.39607	1000.152	11.96707	1000	5.466180124
46	19.614112	31.28595	606.3189	415.7428	1000	96.86368767
47	251.631953	22.04071	1000.147	1000.121	1000	635.2231934
48	0.668454	7.21824	279.7986	73.65114	1000	17.70918951
49	853.945892	344.0418	1000.144	756.3433	1000	44.58650251
50	300.893226	75.98791	1000.131	672.8432	1000	163.1499186
